,YEAR,TEAM,SEED,ROUND,WAB,BADJ EM,BARTHAG,TALENT,BADJ O,BADJ D,ELITE SOS,WIN%,PPPO,K OFF,AVG HGT
281,2019,Duke,1,8,11.2,31.0,0.97,88.931,119.3,88.3,37.373,85.29412,1.129,113.184,78.656
282,2019,Fairleigh Dickinson,16,64,-9.2,-5.5,0.357,0.2,104.8,110.3,7.488,58.06452,1.083,108.37,75.792
283,2019,Florida,10,32,0.6,18.4,0.892,79.849,109.8,91.4,34.588,55.88235,1.042,104.227,77.265
284,2019,Florida St.,4,16,7.7,19.2,0.898,59.895,111.3,92.1,32.314,79.41176,1.067,106.629,78.662
285,2019,Gardner Webb,16,64,-4.9,-1.7,0.454,0.2,105.5,107.2,13.189,64.51613,1.083,108.532,75.143
286,2019,Georgia St.,14,64,-1.1,6.3,0.667,41.152,107.6,101.3,15.85,71.875,1.066,106.563,76.564
287,2019,Gonzaga,1,8,7.1,32.5,0.971,55.473,124.1,91.6,21.704,90.90909,1.241,123.829,78.212
288,2019,Houston,3,16,7.9,23.2,0.932,36.791,114.1,90.9,21.749,91.17647,1.12,112.096,76.192
289,2019,Iona,16,64,-10.2,-4.9,0.372,7.379,105.2,110.1,9.366,53.125,1.077,107.93,76.777
290,2019,Iowa,10,32,3.2,15.9,0.844,55.647,116.4,100.5,31.994,66.66667,1.106,110.452,78.354
291,2019,Iowa St.,6,64,4.3,22.1,0.915,56.016,118.2,96.1,33.257,67.64706,1.127,112.927,77.656
292,2019,Kansas,4,32,8.3,20.3,0.908,89.423,112.5,92.2,38.465,73.52941,1.055,105.568,77.524
293,2019,Kansas St.,4,64,6.6,19.0,0.906,48.118,106.5,87.5,32.441,75.75758,1.013,101.553,76.626
294,2019,Kentucky,2,8,8.8,25.2,0.942,95.376,116.9,91.7,33.711,81.81818,1.126,112.784,78.06
295,2019,Liberty,12,32,-0.4,9.0,0.73,0.345,108.7,99.7,11.295,80.64516,1.111,111.547,75.616
296,2019,Louisville,7,64,2.3,20.2,0.906,53.581,112.9,92.7,35.477,60.60606,1.071,107.243,76.75
297,2019,LSU,3,16,7.3,21.2,0.907,66.287,118.3,97.1,30.387,81.25,1.123,112.474,77.191
298,2019,Marquette,5,64,2.8,16.5,0.862,71.641,112.2,95.7,24.34,72.72727,1.088,108.714,77.863
299,2019,Maryland,6,32,4.2,18.7,0.89,78.823,112.5,93.8,33.402,68.75,1.076,107.334,77.8
300,2019,Michigan,2,16,9.2,29.1,0.966,80.432,115.3,86.2,32.909,82.35294,1.078,107.986,77.708
301,2019,Michigan St.,2,4,10.6,28.1,0.956,70.057,120.0,91.9,37.031,82.35294,1.144,114.269,77.545
302,2019,Minnesota,10,32,2.7,12.9,0.809,71.523,109.5,96.6,34.824,61.76471,1.038,103.298,78.493
303,2019,Mississippi,8,64,1.0,16.5,0.86,48.937,113.1,96.6,28.95,62.5,1.085,108.408,76.901
304,2019,Mississippi St.,5,64,4.6,19.8,0.895,82.586,116.4,96.6,32.171,69.69697,1.12,111.932,77.708
305,2019,Montana,15,64,-3.0,3.5,0.595,19.258,106.7,103.2,9.661,75.0,1.117,111.502,76.224
306,2019,Murray St.,12,32,1.3,12.0,0.79,8.231,110.5,98.5,12.081,86.2069,1.147,114.766,77.219
307,2019,Nevada,7,64,4.1,17.4,0.873,35.414,112.9,95.5,15.433,87.87879,1.137,113.948,78.179
308,2019,New Mexico St.,12,64,1.6,12.8,0.802,13.806,111.6,98.8,10.958,87.5,1.142,113.701,75.434
309,2019,North Carolina,1,16,10.0,28.0,0.956,76.654,119.2,91.2,36.978,81.81818,1.126,112.438,78.502
310,2019,North Carolina Central,16,68,-10.8,-10.3,0.239,4.547,97.2,107.5,9.393,50.0,1.004,100.502,75.64
311,2019,North Dakota St.,16,64,-8.4,-2.9,0.423,0.2,105.8,108.7,14.601,51.6129,1.079,108.198,76.57
312,2019,Northeastern,13,64,-2.6,7.2,0.685,5.836,110.0,102.8,14.55,69.69697,1.128,112.969,76.931
313,2019,Northern Kentucky,14,64,-2.0,6.8,0.678,4.597,108.4,101.6,11.952,75.0,1.114,111.424,76.214
314,2019,Ohio St.,11,32,0.9,14.2,0.834,56.419,108.3,94.1,33.733,57.57576,1.037,103.341,76.691
315,2019,Oklahoma,9,32,2.5,16.1,0.863,58.325,108.9,92.8,35.499,59.375,1.016,101.398,77.409
316,2019,Old Dominion,14,64,-1.6,4.9,0.64,33.997,100.4,95.5,11.544,76.47059,1.012,101.139,77.587
