,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_em_2,barthag_1,barthag_2,elite_sos_1,elite_sos_2,k_off_1,k_off_2,pppo_1,pppo_2,talent_1,talent_2,wab_1,wab_2,win_percent_1,win_percent_2,winner,badj_em_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff
49,2023,Creighton,6,8,16,Princeton,15,16,21.0,6.0,0.913,0.659,32.269,11.173,109.592,108.055,1.095,1.081,67.359,0.2,1.9,-3.2,63.63636364,70.37037037,1,15.0,5.1,0.254,67.15899999999999,21.095999999999997,-6.734006730000004,0.014000000000000012,1.536999999999992
50,2023,Florida Atlantic,9,4,16,Tennessee,4,16,17.4,24.9,0.874,0.949,16.095,28.429,112.947,108.476,1.129,1.08,17.083,60.04,4.8,2.8,90.625,69.6969697,1,-7.5,2.0,-0.07499999999999996,-42.957,-12.334,20.928030300000003,0.04899999999999993,4.471000000000004
51,2023,Kansas St.,3,8,16,Michigan St.,7,16,17.2,16.6,0.875,0.864,30.879,34.618,104.952,105.971,1.051,1.06,48.155,70.568,4.3,2.4,71.875,61.29032258,1,0.5999999999999979,1.9,0.01100000000000001,-22.412999999999997,-3.7390000000000008,10.584677419999998,-0.009000000000000119,-1.0190000000000055
52,2023,Houston,1,16,16,Miami FL,5,4,29.1,15.9,0.964,0.842,23.376,23.676,116.021,114.539,1.158,1.147,68.424,44.964,8.1,3.7,91.17647059,78.125,0,13.200000000000001,4.3999999999999995,0.122,23.460000000000008,-0.29999999999999716,13.051470589999994,0.010999999999999899,1.4819999999999993
53,2023,Xavier,3,16,16,Texas,2,8,20.2,23.0,0.895,0.929,31.866,34.531,112.788,109.362,1.129,1.095,53.584,67.877,5.2,7.6,73.52941176,76.47058824,0,-2.8000000000000007,-2.3999999999999995,-0.03400000000000003,-14.292999999999992,-2.664999999999999,-2.9411764799999958,0.03400000000000003,3.426000000000002
54,2023,Arkansas,8,16,16,Connecticut,4,1,18.7,26.4,0.894,0.947,30.654,29.244,105.743,114.228,1.058,1.144,70.997,62.486,0.4,4.9,60.60606061,75.75757576,0,-7.699999999999999,-4.5,-0.052999999999999936,8.511000000000003,1.4100000000000001,-15.151515149999994,-0.08599999999999985,-8.485
55,2023,Gonzaga,3,8,16,UCLA,2,16,24.0,25.8,0.925,0.951,26.846,28.811,120.383,109.714,1.205,1.098,76.992,83.585,6.8,8.5,84.375,85.29411765,1,-1.8000000000000007,-1.7000000000000002,-0.025999999999999912,-6.592999999999989,-1.9649999999999999,-0.919117650000004,0.10699999999999998,10.668999999999997
56,2023,San Diego St.,5,2,8,Creighton,6,8,21.2,21.0,0.919,0.913,25.602,32.269,106.67,109.592,1.064,1.095,37.236,67.359,5.8,1.9,81.25,63.63636364,1,0.1999999999999993,3.9,0.006000000000000005,-30.122999999999998,-6.666999999999998,17.61363636,-0.030999999999999917,-2.921999999999997
57,2023,Florida Atlantic,9,4,8,Kansas St.,3,8,17.4,17.2,0.874,0.875,16.095,30.879,112.947,104.952,1.129,1.051,17.083,48.155,4.8,4.3,90.625,71.875,1,0.1999999999999993,0.5,-0.0010000000000000009,-31.072000000000003,-14.784000000000002,18.75,0.07800000000000007,7.9950000000000045
58,2023,Miami FL,5,4,8,Texas,2,8,15.9,23.0,0.842,0.929,23.676,34.531,114.539,109.362,1.147,1.095,44.964,67.877,3.7,7.6,78.125,76.47058824,1,-7.1,-3.8999999999999995,-0.08700000000000008,-22.912999999999997,-10.855,1.6544117600000021,0.052000000000000046,5.177000000000007
59,2023,Connecticut,4,1,8,Gonzaga,3,8,26.4,24.0,0.947,0.925,29.244,26.846,114.228,120.383,1.144,1.205,62.486,76.992,4.9,6.8,75.75757576,84.375,1,2.3999999999999986,-1.8999999999999995,0.02199999999999991,-14.506000000000007,2.3979999999999997,-8.617424240000005,-0.061000000000000165,-6.155000000000001
60,2023,San Diego St.,5,2,4,Florida Atlantic,9,4,21.2,17.4,0.919,0.874,25.602,16.095,106.67,112.947,1.064,1.129,37.236,17.083,5.8,4.8,81.25,90.625,1,3.8000000000000007,1.0,0.04500000000000004,20.153,9.507000000000001,-9.375,-0.06499999999999995,-6.277000000000001
